BOWLER_NAME,MATCH_PLAYED,WICKET_TAKEN,ECONOMY_RATE,BOWLING_AVG,TOTAL_RUNS_GIVEN,OVERS_BOWLED,BALLS_BOWLED,WIDES,NO_BALLS,FOURS,SIXES
"Ankit Sharma",21,12,7.25,37.75,453,63,375,8,0,28,18
"Ankit Soni",6,4,7.77,36.25,145,19,112,3,0,8,7
"Anureet Singh",22,21,8.87,30.29,636,72,430,12,6,65,22
"AP Dole",3,5,9.37,22.80,114,12,73,6,1,11,4
"AR Patel",96,87,7.31,28.76,2502,342,2053,34,0,158,96
"Arshdeep Singh",11,14,9.04,24.00,336,37,223,13,1,34,11
"AS Joseph",3,6,9.71,14.83,89,9,55,3,0,10,5
"AS Rajpoot",29,24,8.93,35.17,844,95,567,28,9,89,31
"AS Raut",5,0,9.00,NULL,45,5,30,0,0,4,1
"AS Roy",1,1,4.40,11.00,11,3,15,3,0,0,0
"AUK Pathan",3,0,9.22,NULL,63,7,41,2,0,5,2
"Avesh Khan",9,5,9.76,60.20,301,31,185,4,1,28,19
"Azhar Mahmood",23,31,7.68,22.81,707,92,552,10,5,73,18
"B Akhil",13,7,7.65,35.14,246,32,193,4,1,18,9
"B Chipli",1,0,20.00,NULL,20,1,6,0,0,1,2
"B Geeves",2,2,11.14,45.50,91,8,49,1,0,17,1
"B Kumar",121,146,7.15,22.83,3333,466,2795,89,9,336,88
"B Laughlin",9,10,9.52,28.40,284,30,179,10,1,26,10
"B Lee",38,30,7.38,37.53,1126,153,916,28,13,123,25
"B Stanlake",6,7,8.00,28.57,200,25,150,6,0,19,9
"BA Bhatt",15,13,8.08,31.38,408,51,303,6,1,35,13
"BA Stokes",36,31,8.38,32.03,993,119,711,30,4,96,31
"Basil Thampi",20,21,9.67,33.52,704,73,437,11,1,64,31
"BAW Mendis",10,9,7.08,32.00,288,41,244,3,1,16,10
"BB Sran",24,20,8.92,38.35,767,86,516,30,3,73,29
"BCJ Cutting",17,12,8.96,35.83,430,48,288,7,0,44,15
"BE Hendricks",7,11,9.13,21.73,239,26,157,6,1,24,7
"Bipul Sharma",28,22,8.00,26.41,581,73,436,10,0,28,31
"BJ Hodge",20,18,7.82,17.22,310,40,238,4,0,17,14
"BJ Rohrer",1,0,10.29,NULL,12,1,7,1,0,2,0
"BMAJ Mendis",2,1,7.20,36.00,36,5,30,0,0,2,2
"BW Hilfenhaus",17,23,7.65,21.61,497,65,390,15,3,48,21
"C de Grandhomme",19,7,8.43,46.14,323,38,230,12,2,22,13
"C Ganapathy",1,0,13.00,NULL,13,1,6,0,0,1,1
"C Munro",2,0,7.50,NULL,15,2,12,0,0,1,1
"C Nanda",3,2,6.96,29.00,58,8,50,2,0,1,2
"CH Gayle",38,19,7.76,39.74,755,97,584,27,3,49,27
"CH Morris",70,88,7.70,22.34,1966,255,1532,54,4,185,63
"CJ Anderson",22,14,10.00,37.50,525,53,315,18,0,52,23
"CJ Dala",1,0,10.74,NULL,34,3,19,1,0,3,2
"CJ Green",1,0,8.47,NULL,24,3,17,0,0,4,0
"CJ Jordan",20,25,8.96,24.80,620,69,415,25,3,51,24
"CJ McKay",2,1,8.57,60.00,60,7,42,0,0,8,1
"CK Kapugedera",3,0,17.29,NULL,49,3,17,0,0,5,3
"CK Langeveldt",7,13,7.24,15.31,199,28,165,8,1,17,8
"CL White",6,1,11.22,86.00,86,8,46,4,0,5,6
"CR Brathwaite",16,16,8.66,24.00,384,44,266,9,3,37,12
"CR Woakes",18,26,8.92,22.65,589,66,396,22,0,58,25
"CRD Fernando",10,19,7.37,16.11,306,42,249,11,4,30,9
"CV Varun",14,18,7.11,21.78,392,55,331,1,0,30,12
"D du Preez",2,4,7.81,14.00,56,7,43,0,1,6,1
"D Kalyankrishna",3,2,10.56,44.00,88,8,50,2,0,8,4
"D Salunkhe",5,1,9.41,80.00,80,9,51,3,1,6,3
"D Wiese",14,17,8.49,24.06,409,48,289,10,1,44,9
"DA Warner",1,0,6.00,NULL,2,0,2,1,0,0,0
"DAJ Bracewell",1,3,7.68,10.67,32,4,25,1,0,2,2
"DB Ravi Teja",2,1,9.33,28.00,28,3,18,0,0,1,2
"DE Bollinger",27,43,7.16,16.65,716,100,600,22,2,73,19
"DJ Bravo",137,175,8.16,22.11,3869,474,2846,128,6,305,138
"DJ Harris",2,0,8.67,NULL,26,3,18,0,0,2,1
"DJ Hooda",21,7,8.18,46.57,326,40,239,10,0,22,13
"DJ Hussey",26,10,9.01,48.50,485,54,323,6,0,30,25
"DJ Muthuswami",6,4,7.71,27.00,108,14,84,0,0,14,3
"DJ Thornely",4,3,5.45,13.33,40,7,44,2,0,5,0
"DJ Willey",3,2,9.44,48.00,96,10,61,1,0,12,3
"DJG Sammy",19,14,8.70,25.29,354,41,244,6,2,33,12
"DJM Short",2,1,7.67,23.00,23,3,18,0,0,1,1
"DL Chahar",48,45,7.38,28.58,1286,174,1046,41,5,150,30
"DL Vettori",34,34,6.83,26.29,894,131,785,8,0,67,24
"DNT Zoysa",3,2,8.70,50.00,100,12,69,1,2,12,3
"DP Nannes",29,38,7.10,21.45,815,115,689,39,4,89,15
"DP Vijaykumar",9,4,7.74,51.25,205,27,159,5,2,23,5
"DR Sams",3,0,8.88,NULL,114,13,77,4,1,9,5
"DR Smith",46,27,8.89,30.56,825,93,557,14,4,75,33
