IPL_EDITION,VENUE,CITY,DATES,TEAM1_IRRESPECTIVE_OF_INNING,TEAM2_IRRESPECTIVE_OF_INNING,FIRST_INNING,SECOND_INNING,WINNING_TEAM,MOM
2011,"Dr DY Patil Sports Academy",Mumbai,2011-05-04,"Pune Warriors","Mumbai Indians",160/7,139/7,"Mumbai Indians","R Sharma"
2011,"Nehru Stadium",Kochi,2011-05-05,"Kochi Tuskers Kerala","Kolkata Knight Riders",156/5,139/7,"Kochi Tuskers Kerala","BJ Hodge"
2011,"M Chinnaswamy Stadium",Bangalore,2011-05-06,"Royal Challengers Bangalore","Kings XI Punjab",205/6,120/9,"Royal Challengers Bangalore","CH Gayle"
2011,"Eden Gardens",Kolkata,2011-05-07,"Kolkata Knight Riders","Chennai Super Kings",114/4,61/2,"Kolkata Knight Riders","Iqbal Abdulla"
2011,"Wankhede Stadium",Mumbai,2011-05-07,"Mumbai Indians","Delhi Daredevils",178/4,146/10,"Mumbai Indians","AT Rayudu"
2011,"M Chinnaswamy Stadium",Bangalore,2011-05-08,"Royal Challengers Bangalore","Kochi Tuskers Kerala",125/9,128/1,"Royal Challengers Bangalore","CH Gayle"
2011,"Sawai Mansingh Stadium",Jaipur,2011-05-09,"Rajasthan Royals","Chennai Super Kings",196/3,133/10,"Chennai Super Kings","M Vijay"
2011,"Sawai Mansingh Stadium",Jaipur,2011-05-11,"Rajasthan Royals","Royal Challengers Bangalore",146/6,151/1,"Royal Challengers Bangalore","S Aravind"
2011,"Holkar Cricket Stadium",Indore,2011-05-13,"Kochi Tuskers Kerala","Kings XI Punjab",178/7,181/4,"Kings XI Punjab","KD Karthik"
2011,"M Chinnaswamy Stadium",Bangalore,2011-05-14,"Royal Challengers Bangalore","Kolkata Knight Riders",89/4,105/6,"Royal Challengers Bangalore","CH Gayle"
2011,"Wankhede Stadium",Mumbai,2011-05-14,"Mumbai Indians","Deccan Chargers",135/6,125/8,"Deccan Chargers","A Mishra"
2011,"Himachal Pradesh Cricket Association Stadium",Dharamsala,2011-05-15,"Kings XI Punjab","Delhi Daredevils",170/6,141/8,"Kings XI Punjab","PP Chawla"
2011,"Holkar Cricket Stadium",Indore,2011-05-15,"Kochi Tuskers Kerala","Rajasthan Royals",97/10,98/2,"Kochi Tuskers Kerala","BJ Hodge"
2011,"Dr DY Patil Sports Academy",Mumbai,2011-05-16,"Pune Warriors","Deccan Chargers",136/9,138/4,"Deccan Chargers","A Mishra"
2011,"Himachal Pradesh Cricket Association Stadium",Dharamsala,2011-05-17,"Kings XI Punjab","Royal Challengers Bangalore",232/2,121/10,"Kings XI Punjab","AC Gilchrist"
2011,"Dr DY Patil Sports Academy",Mumbai,2011-05-19,"Pune Warriors","Kolkata Knight Riders",118/7,119/3,"Kolkata Knight Riders","YK Pathan"
2011,"Wankhede Stadium",Mumbai,2011-05-20,"Mumbai Indians","Rajasthan Royals",133/5,134/0,"Rajasthan Royals","SR Watson"
2011,"Himachal Pradesh Cricket Association Stadium",Dharamsala,2011-05-21,"Kings XI Punjab","Deccan Chargers",198/2,116/10,"Deccan Chargers","S Dhawan"
2011,"Feroz Shah Kotla",Delhi,2011-05-21,"Delhi Daredevils","Pune Warriors",56/3,NULL,NA,NA
2011,"M Chinnaswamy Stadium",Bangalore,2011-05-22,"Royal Challengers Bangalore","Chennai Super Kings",128/8,129/2,"Royal Challengers Bangalore","CH Gayle"
2011,"Eden Gardens",Kolkata,2011-05-22,"Kolkata Knight Riders","Mumbai Indians",175/7,178/5,"Mumbai Indians","JEC Franklin"
2011,"Wankhede Stadium",Mumbai,2011-05-24,"Royal Challengers Bangalore","Chennai Super Kings",175/4,177/4,"Chennai Super Kings","SK Raina"
2011,"Wankhede Stadium",Mumbai,2011-05-25,"Mumbai Indians","Kolkata Knight Riders",147/7,148/6,"Mumbai Indians","MM Patel"
2012,"Eden Gardens",Kolkata,2012-04-05,"Kolkata Knight Riders","Delhi Daredevils",97/9,100/2,"Delhi Daredevils","IK Pathan"
2012,"Wankhede Stadium",Mumbai,2012-04-06,"Mumbai Indians","Pune Warriors",129/9,101/9,"Pune Warriors","SPD Smith"
2012,"Sawai Mansingh Stadium",Jaipur,2012-04-06,"Rajasthan Royals","Kings XI Punjab",191/4,160/9,"Rajasthan Royals","AM Rahane"
2012,"M Chinnaswamy Stadium",Bangalore,2012-04-07,"Royal Challengers Bangalore","Delhi Daredevils",157/8,137/7,"Royal Challengers Bangalore","AB de Villiers"
2012,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",Visakhapatnam,2012-04-07,"Deccan Chargers","Chennai Super Kings",193/6,119/10,"Chennai Super Kings","RA Jadeja"
2012,"Sawai Mansingh Stadium",Jaipur,2012-04-08,"Rajasthan Royals","Kolkata Knight Riders",164/5,142/10,"Rajasthan Royals","BJ Hodge"
2012,"Subrata Roy Sahara Stadium",Pune,2012-04-08,"Pune Warriors","Kings XI Punjab",166/6,144/8,"Pune Warriors","MN Samuels"
